,Total Nuclear production (Billion Btu),State
2015  ,0,District of Columbia
2016  ,0,District of Columbia
2017  ,0,District of Columbia
2018  ,0,District of Columbia
1960  ,0,Delaware
1961  ,0,Delaware
1962  ,0,Delaware
1963  ,0,Delaware
1964  ,0,Delaware
1965  ,0,Delaware
1966  ,0,Delaware
1967  ,0,Delaware
1968  ,0,Delaware
1969  ,0,Delaware
1970  ,0,Delaware
1971  ,0,Delaware
1972  ,0,Delaware
1973  ,0,Delaware
1974  ,0,Delaware
1975  ,0,Delaware
1976  ,0,Delaware
1977  ,0,Delaware
1978  ,0,Delaware
1979  ,0,Delaware
1980  ,0,Delaware
1981  ,0,Delaware
1982  ,0,Delaware
1983  ,0,Delaware
1984  ,0,Delaware
1985  ,0,Delaware
1986  ,0,Delaware
1987  ,0,Delaware
1988  ,0,Delaware
1989  ,0,Delaware
1990  ,0,Delaware
1991  ,0,Delaware
1992  ,0,Delaware
1993  ,0,Delaware
1994  ,0,Delaware
1995  ,0,Delaware
1996  ,0,Delaware
1997  ,0,Delaware
1998  ,0,Delaware
1999  ,0,Delaware
2000  ,0,Delaware
2001  ,0,Delaware
2002  ,0,Delaware
2003  ,0,Delaware
2004  ,0,Delaware
2005  ,0,Delaware
2006  ,0,Delaware
2007  ,0,Delaware
2008  ,0,Delaware
2009  ,0,Delaware
2010  ,0,Delaware
2011  ,0,Delaware
2012  ,0,Delaware
2013  ,0,Delaware
2014  ,0,Delaware
2015  ,0,Delaware
2016  ,0,Delaware
2017  ,0,Delaware
2018  ,0,Delaware
1960  ,0,Florida
1961  ,0,Florida
1962  ,0,Florida
1963  ,0,Florida
1964  ,0,Florida
1965  ,0,Florida
1966  ,0,Florida
1967  ,0,Florida
1968  ,0,Florida
1969  ,0,Florida
1970  ,0,Florida
1971  ,0,Florida
1972  ,713,Florida
1973  ,51038,Florida
1974  ,87919,Florida
1975  ,92177,Florida
1976  ,95538,Florida
1977  ,189076,Florida
1978  ,172977,Florida
1979  ,167438,Florida
1980  ,182563,Florida
1981  ,159362,Florida
1982  ,213919,Florida
1983  ,161446,Florida
1984  ,261074,Florida
1985  ,249204,Florida
1986  ,233119,Florida
1987  ,196026,Florida
1988  ,277752,Florida
1989  ,221356,Florida
1990  ,230471,Florida
1991  ,215001,Florida
1992  ,262989,Florida
1993  ,271916,Florida
1994  ,278881,Florida
1995  ,301978,Florida
1996  ,267514,Florida
1997  ,241023,Florida
1998  ,326432,Florida
1999  ,329450,Florida
2000  ,336766,Florida
2001  ,329825,Florida
2002  ,351940,Florida
2003  ,322868,Florida
2004  ,325516,Florida
2005  ,300127,Florida
2006  ,327934,Florida
2007  ,307215,Florida
2008  ,335857,Florida
2009  ,304544,Florida
2010  ,250178,Florida
2011  ,230369,Florida
2012  ,187259,Florida
2013  ,277169,Florida
2014  ,291474,Florida
2015  ,294099,Florida
2016  ,306658,Florida
2017  ,304840,Florida
2018  ,306461,Florida
1960  ,0,Georgia
1961  ,0,Georgia
1962  ,0,Georgia
1963  ,0,Georgia
1964  ,0,Georgia
1965  ,0,Georgia
1966  ,0,Georgia
1967  ,0,Georgia
1968  ,0,Georgia
1969  ,0,Georgia
1970  ,0,Georgia
1971  ,0,Georgia
1972  ,0,Georgia
1973  ,0,Georgia
1974  ,487,Georgia
1975  ,34063,Georgia
1976  ,45666,Georgia
1977  ,39985,Georgia
1978  ,46798,Georgia
1979  ,55429,Georgia
1980  ,92015,Georgia
1981  ,79799,Georgia
1982  ,73144,Georgia
1983  ,84771,Georgia
1984  ,59331,Georgia
1985  ,107602,Georgia
1986  ,76574,Georgia
1987  ,159333,Georgia
1988  ,160615,Georgia
1989  ,264167,Georgia
1990  ,262401,Georgia
1991  ,272752,Georgia
1992  ,293149,Georgia
1993  ,286059,Georgia
1994  ,302346,Georgia
1995  ,322151,Georgia
1996  ,314302,Georgia
1997  ,319170,Georgia
1998  ,329212,Georgia
1999  ,328946,Georgia
2000  ,338660,Georgia
2001  ,351739,Georgia
2002  ,324827,Georgia
2003  ,346601,Georgia
2004  ,351921,Georgia
2005  ,329092,Georgia
2006  ,333981,Georgia
2007  ,341364,Georgia
2008  ,331235,Georgia
2009  ,331368,Georgia
2010  ,350268,Georgia
2011  ,338052,Georgia
2012  ,355674,Georgia
2013  ,343801,Georgia
2014  ,340652,Georgia
2015  ,353883,Georgia
2016  ,360633,Georgia
2017  ,352560,Georgia
2018  ,359262,Georgia
1960  ,0,Hawaii
1961  ,0,Hawaii
1962  ,0,Hawaii
1963  ,0,Hawaii
1964  ,0,Hawaii
1965  ,0,Hawaii
1966  ,0,Hawaii
1967  ,0,Hawaii
1968  ,0,Hawaii
1969  ,0,Hawaii
1970  ,0,Hawaii
1971  ,0,Hawaii
1972  ,0,Hawaii
1973  ,0,Hawaii
1974  ,0,Hawaii
1975  ,0,Hawaii
1976  ,0,Hawaii
1977  ,0,Hawaii
1978  ,0,Hawaii
1979  ,0,Hawaii
1980  ,0,Hawaii
1981  ,0,Hawaii
1982  ,0,Hawaii
1983  ,0,Hawaii
1984  ,0,Hawaii
1985  ,0,Hawaii
1986  ,0,Hawaii
1987  ,0,Hawaii
1988  ,0,Hawaii
1989  ,0,Hawaii
1990  ,0,Hawaii
1991  ,0,Hawaii
1992  ,0,Hawaii
1993  ,0,Hawaii
1994  ,0,Hawaii
1995  ,0,Hawaii
1996  ,0,Hawaii
1997  ,0,Hawaii
1998  ,0,Hawaii
1999  ,0,Hawaii
2000  ,0,Hawaii
2001  ,0,Hawaii
2002  ,0,Hawaii
2003  ,0,Hawaii
2004  ,0,Hawaii
2005  ,0,Hawaii
2006  ,0,Hawaii
2007  ,0,Hawaii
2008  ,0,Hawaii
2009  ,0,Hawaii
2010  ,0,Hawaii
2011  ,0,Hawaii
2012  ,0,Hawaii
2013  ,0,Hawaii
2014  ,0,Hawaii
2015  ,0,Hawaii
2016  ,0,Hawaii
2017  ,0,Hawaii
2018  ,0,Hawaii
1960  ,0,Iowa
1961  ,0,Iowa
1962  ,0,Iowa
1963  ,0,Iowa
1964  ,0,Iowa
1965  ,0,Iowa
1966  ,0,Iowa
1967  ,0,Iowa
1968  ,0,Iowa
1969  ,0,Iowa
1970  ,0,Iowa
1971  ,0,Iowa
1972  ,0,Iowa
1973  ,0,Iowa
1974  ,14842,Iowa
1975  ,25235,Iowa
1976  ,27384,Iowa
1977  ,31102,Iowa
1978  ,13225,Iowa
1979  ,31432,Iowa
1980  ,27955,Iowa
1981  ,24309,Iowa
1982  ,25126,Iowa
1983  ,25177,Iowa
1984  ,29274,Iowa
1985  ,20467,Iowa
1986  ,31666,Iowa
1987  ,26348,Iowa
1988  ,33536,Iowa
1989  ,33221,Iowa
1990  ,31868,Iowa
1991  ,43475,Iowa
1992  ,35655,Iowa
1993  ,33981,Iowa
1994  ,42930,Iowa
1995  ,39191,Iowa
1996  ,41210,Iowa
1997  ,43541,Iowa
1998  ,39525,Iowa
1999  ,38041,Iowa
2000  ,46439,Iowa
2001  ,40234,Iowa
2002  ,47761,Iowa
2003  ,41559,Iowa
2004  ,51399,Iowa
2005  ,47362,Iowa
2006  ,53171,Iowa
2007  ,47398,Iowa
2008  ,55210,Iowa
2009  ,48937,Iowa
2010  ,46518,Iowa
2011  ,54572,Iowa
2012  ,45552,Iowa
2013  ,55597,Iowa
2014  ,43431,Iowa
2015  ,54836,Iowa
2016  ,49185,Iowa
2017  ,54528,Iowa
2018  ,51181,Iowa
1960  ,0,Idaho
1961  ,0,Idaho
1962  ,0,Idaho
1963  ,0,Idaho
1964  ,0,Idaho
1965  ,0,Idaho
1966  ,0,Idaho
1967  ,0,Idaho
1968  ,0,Idaho
1969  ,0,Idaho
1970  ,0,Idaho
1971  ,0,Idaho
1972  ,0,Idaho
1973  ,0,Idaho
1974  ,0,Idaho
1975  ,0,Idaho
1976  ,0,Idaho
1977  ,0,Idaho
1978  ,0,Idaho
1979  ,0,Idaho
1980  ,0,Idaho
1981  ,0,Idaho
1982  ,0,Idaho
1983  ,0,Idaho
1984  ,0,Idaho
1985  ,0,Idaho
1986  ,0,Idaho
1987  ,0,Idaho
1988  ,0,Idaho
1989  ,0,Idaho
1990  ,0,Idaho
1991  ,0,Idaho
1992  ,0,Idaho
1993  ,0,Idaho
1994  ,0,Idaho
1995  ,0,Idaho
1996  ,0,Idaho
1997  ,0,Idaho
1998  ,0,Idaho
1999  ,0,Idaho
2000  ,0,Idaho
2001  ,0,Idaho
2002  ,0,Idaho
2003  ,0,Idaho
2004  ,0,Idaho
2005  ,0,Idaho
2006  ,0,Idaho
2007  ,0,Idaho
2008  ,0,Idaho
2009  ,0,Idaho
2010  ,0,Idaho
2011  ,0,Idaho
2012  ,0,Idaho
2013  ,0,Idaho
2014  ,0,Idaho
2015  ,0,Idaho
2016  ,0,Idaho
2017  ,0,Idaho
2018  ,0,Idaho
1960  ,2958,Illinois
1961  ,6144,Illinois
1962  ,13870,Illinois
1963  ,11093,Illinois
1964  ,11710,Illinois
1965  ,11393,Illinois
1966  ,16358,Illinois
1967  ,9325,Illinois
1968  ,10380,Illinois
1969  ,9111,Illinois
1970  ,27600,Illinois
1971  ,47396,Illinois
1972  ,141019,Illinois
1973  ,218614,Illinois
1974  ,218667,Illinois
1975  ,245760,Illinois
1976  ,292243,Illinois
1977  ,307424,Illinois
1978  ,360238,Illinois
1979  ,298772,Illinois
1980  ,302604,Illinois
1981  ,325199,Illinois
1982  ,305891,Illinois
1983  ,305571,Illinois
1984  ,379243,Illinois
1985  ,415387,Illinois
1986  ,450809,Illinois
1987  ,524124,Illinois
1988  ,733298,Illinois
1989  ,791821,Illinois
1990  ,760711,Illinois
1991  ,753444,Illinois
1992  ,772156,Illinois
1993  ,823235,Illinois
1994  ,759385,Illinois
1995  ,824598,Illinois
1996  ,732840,Illinois
1997  ,535916,Illinois
1998  ,583254,Illinois
1999  ,854224,Illinois
2000  ,932749,Illinois
2001  ,964500,Illinois
2002  ,948761,Illinois
2003  ,987308,Illinois
2004  ,959869,Illinois
2005  ,973293,Illinois
2006  ,982498,Illinois
2007  ,1004100,Illinois
2008  ,994526,Illinois
2009  ,998562,Illinois
2010  ,1005374,Illinois
2011  ,1002694,Illinois
2012  ,1010189,Illinois
2013  ,1014926,Illinois
2014  ,1023496,Illinois
2015  ,1017377,Illinois
2016  ,1031331,Illinois
2017  ,1016522,Illinois
2018  ,1025651,Illinois
1960  ,0,Indiana
1961  ,0,Indiana
1962  ,0,Indiana
1963  ,0,Indiana
1964  ,0,Indiana
1965  ,0,Indiana
1966  ,0,Indiana
1967  ,0,Indiana
1968  ,0,Indiana
1969  ,0,Indiana
1970  ,0,Indiana
1971  ,0,Indiana
1972  ,0,Indiana
1973  ,0,Indiana
1974  ,0,Indiana
1975  ,0,Indiana
1976  ,0,Indiana
1977  ,0,Indiana
1978  ,0,Indiana
1979  ,0,Indiana
1980  ,0,Indiana
1981  ,0,Indiana
1982  ,0,Indiana
1983  ,0,Indiana
1984  ,0,Indiana
1985  ,0,Indiana
1986  ,0,Indiana
1987  ,0,Indiana
1988  ,0,Indiana
1989  ,0,Indiana
1990  ,0,Indiana
1991  ,0,Indiana
1992  ,0,Indiana
1993  ,0,Indiana
1994  ,0,Indiana
1995  ,0,Indiana
1996  ,0,Indiana
1997  ,0,Indiana
1998  ,0,Indiana
1999  ,0,Indiana
2000  ,0,Indiana
2001  ,0,Indiana
2002  ,0,Indiana
2003  ,0,Indiana
2004  ,0,Indiana
2005  ,0,Indiana
2006  ,0,Indiana
2007  ,0,Indiana
2008  ,0,Indiana
2009  ,0,Indiana
2010  ,0,Indiana
2011  ,0,Indiana
2012  ,0,Indiana
2013  ,0,Indiana
2014  ,0,Indiana
2015  ,0,Indiana
2016  ,0,Indiana
2017  ,0,Indiana
2018  ,0,Indiana
1960  ,0,Kansas
1961  ,0,Kansas
1962  ,0,Kansas
1963  ,0,Kansas
1964  ,0,Kansas
1965  ,0,Kansas
1966  ,0,Kansas
1967  ,0,Kansas
1968  ,0,Kansas
1969  ,0,Kansas
1970  ,0,Kansas
1971  ,0,Kansas
1972  ,0,Kansas
1973  ,0,Kansas
1974  ,0,Kansas
1975  ,0,Kansas
1976  ,0,Kansas
1977  ,0,Kansas
1978  ,0,Kansas
1979  ,0,Kansas
1980  ,0,Kansas
1981  ,0,Kansas
1982  ,0,Kansas
1983  ,0,Kansas
1984  ,0,Kansas
1985  ,40960,Kansas
1986  ,73616,Kansas
1987  ,67572,Kansas
1988  ,70503,Kansas
1989  ,102753,Kansas
1990  ,83328,Kansas
1991  ,61422,Kansas
1992  ,88906,Kansas
1993  ,82977,Kansas
1994  ,89145,Kansas
1995  ,105723,Kansas
1996  ,86176,Kansas
1997  ,88469,Kansas
1998  ,109219,Kansas
1999  ,95687,Kansas
2000  ,94495,Kansas
2001  ,108050,Kansas
2002  ,94413,Kansas
2003  ,92648,Kansas
2004  ,105664,Kansas
2005  ,92055,Kansas
2006  ,97570,Kansas
2007  ,108762,Kansas
2008  ,88812,Kansas
2009  ,91710,Kansas
2010  ,99876,Kansas
2011  ,76585,Kansas
2012  ,86818,Kansas
2013  ,74902,Kansas
2014  ,89512,Kansas
2015  ,90254,Kansas
2016  ,86245,Kansas
2017  ,111367,Kansas
2018  ,95854,Kansas
1960  ,0,Kentucky
1961  ,0,Kentucky
1962  ,0,Kentucky
1963  ,0,Kentucky
1964  ,0,Kentucky
1965  ,0,Kentucky
1966  ,0,Kentucky
1967  ,0,Kentucky
1968  ,0,Kentucky
1969  ,0,Kentucky
1970  ,0,Kentucky
1971  ,0,Kentucky
1972  ,0,Kentucky
1973  ,0,Kentucky
1974  ,0,Kentucky
1975  ,0,Kentucky
1976  ,0,Kentucky
1977  ,0,Kentucky
1978  ,0,Kentucky
1979  ,0,Kentucky
1980  ,0,Kentucky
1981  ,0,Kentucky
1982  ,0,Kentucky
1983  ,0,Kentucky
1984  ,0,Kentucky
1985  ,0,Kentucky
1986  ,0,Kentucky
1987  ,0,Kentucky
1988  ,0,Kentucky
1989  ,0,Kentucky
1990  ,0,Kentucky
1991  ,0,Kentucky
1992  ,0,Kentucky
1993  ,0,Kentucky
1994  ,0,Kentucky
1995  ,0,Kentucky
1996  ,0,Kentucky
1997  ,0,Kentucky
1998  ,0,Kentucky
1999  ,0,Kentucky
2000  ,0,Kentucky
2001  ,0,Kentucky
2002  ,0,Kentucky
2003  ,0,Kentucky
2004  ,0,Kentucky
2005  ,0,Kentucky
2006  ,0,Kentucky
2007  ,0,Kentucky
2008  ,0,Kentucky
2009  ,0,Kentucky
2010  ,0,Kentucky
2011  ,0,Kentucky
2012  ,0,Kentucky
2013  ,0,Kentucky
2014  ,0,Kentucky
2015  ,0,Kentucky
2016  ,0,Kentucky
2017  ,0,Kentucky
2018  ,0,Kentucky
1960  ,0,Louisiana
1961  ,0,Louisiana
1962  ,0,Louisiana
1963  ,0,Louisiana
1964  ,0,Louisiana
1965  ,0,Louisiana
1966  ,0,Louisiana
1967  ,0,Louisiana
1968  ,0,Louisiana
1969  ,0,Louisiana
1970  ,0,Louisiana
1971  ,0,Louisiana
1972  ,0,Louisiana
1973  ,0,Louisiana
1974  ,0,Louisiana
1975  ,0,Louisiana
1976  ,0,Louisiana
1977  ,0,Louisiana
1978  ,0,Louisiana
1979  ,0,Louisiana
1980  ,0,Louisiana
1981  ,0,Louisiana
1982  ,0,Louisiana
1983  ,0,Louisiana
1984  ,0,Louisiana
1985  ,26102,Louisiana
1986  ,112532,Louisiana
1987  ,128688,Louisiana
1988  ,146152,Louisiana
1989  ,131136,Louisiana
1990  ,150230,Louisiana
1991  ,146317,Louisiana
1992  ,108433,Louisiana
1993  ,151238,Louisiana
1994  ,133562,Louisiana
1995  ,164812,Louisiana
1996  ,165578,Louisiana
1997  ,141785,Louisiana
1998  ,172341,Louisiana
1999  ,137016,Louisiana
2000  ,164734,Louisiana
2001  ,181041,Louisiana
2002  ,180702,Louisiana
2003  ,168069,Louisiana
2004  ,178110,Louisiana
