,Total energy production (Billion Btu),State
2017  ,1212860,Kentucky
1960  ,5066112,Louisiana
1961  ,5366296,Louisiana
1962  ,5692599,Louisiana
1963  ,6118492,Louisiana
1964  ,6408290,Louisiana
1965  ,6733987,Louisiana
1966  ,7409292,Louisiana
1967  ,8238870,Louisiana
1968  ,8654093,Louisiana
1969  ,9097934,Louisiana
1970  ,9358093,Louisiana
1971  ,9224533,Louisiana
1972  ,8617101,Louisiana
1973  ,8276311,Louisiana
1974  ,7226422,Louisiana
1975  ,6162377,Louisiana
1976  ,5705547,Louisiana
1977  ,5432860,Louisiana
1978  ,5315113,Louisiana
1979  ,4773172,Louisiana
1980  ,4403760,Louisiana
1981  ,4152387,Louisiana
1982  ,3786731,Louisiana
1983  ,3422307,Louisiana
1984  ,3537172,Louisiana
1985  ,3166360,Louisiana
1986  ,3377900,Louisiana
1987  ,3290383,Louisiana
1988  ,3282121,Louisiana
1989  ,3165107,Louisiana
1990  ,3137054,Louisiana
1991  ,3092042,Louisiana
1992  ,3046772,Louisiana
1993  ,3082236,Louisiana
1994  ,3027591,Louisiana
1995  ,3054780,Louisiana
1996  ,3048163,Louisiana
1997  ,3016881,Louisiana
1998  ,3018040,Louisiana
1999  ,2904411,Louisiana
2000  ,2750023,Louisiana
2001  ,2766360,Louisiana
2002  ,2565822,Louisiana
2003  ,2492702,Louisiana
2004  ,2508287,Louisiana
2005  ,2327276,Louisiana
2006  ,2380540,Louisiana
2007  ,2395661,Louisiana
2008  ,2307005,Louisiana
2009  ,2463645,Louisiana
2010  ,3172021,Louisiana
2011  ,3971537,Louisiana
2012  ,3787716,Louisiana
2013  ,3222275,Louisiana
2014  ,2836513,Louisiana
2015  ,2619212,Louisiana
2016  ,2591562,Louisiana
2017  ,2956553,Louisiana
1960  ,53748,Massachusetts
1961  ,62700,Massachusetts
1962  ,61608,Massachusetts
1963  ,63943,Massachusetts
1964  ,68314,Massachusetts
1965  ,67043,Massachusetts
1966  ,70690,Massachusetts
1967  ,72890,Massachusetts
1968  ,75857,Massachusetts
1969  ,77225,Massachusetts
1970  ,78316,Massachusetts
1971  ,76801,Massachusetts
1972  ,75482,Massachusetts
1973  ,112330,Massachusetts
1974  ,89155,Massachusetts
1975  ,94961,Massachusetts
1976  ,100977,Massachusetts
1977  ,102928,Massachusetts
1978  ,128621,Massachusetts
1979  ,140410,Massachusetts
1980  ,107750,Massachusetts
1981  ,120930,Massachusetts
1982  ,112852,Massachusetts
1983  ,144711,Massachusetts
1984  ,76253,Massachusetts
1985  ,130594,Massachusetts
1986  ,95246,Massachusetts
1987  ,72141,Massachusetts
1988  ,73676,Massachusetts
1989  ,98739,Massachusetts
1990  ,118909,Massachusetts
1991  ,112886,Massachusetts
1992  ,118086,Massachusetts
1993  ,115323,Massachusetts
1994  ,113806,Massachusetts
1995  ,119680,Massachusetts
1996  ,134355,Massachusetts
1997  ,117549,Massachusetts
1998  ,126195,Massachusetts
1999  ,112386,Massachusetts
2000  ,126950,Massachusetts
2001  ,101717,Massachusetts
2002  ,106960,Massachusetts
2003  ,102219,Massachusetts
2004  ,113000,Massachusetts
2005  ,97935,Massachusetts
2006  ,106389,Massachusetts
2007  ,91941,Massachusetts
2008  ,104076,Massachusetts
2009  ,105771,Massachusetts
2010  ,112494,Massachusetts
2011  ,106319,Massachusetts
2012  ,111358,Massachusetts
2013  ,102257,Massachusetts
2014  ,122535,Massachusetts
2015  ,114986,Massachusetts
2016  ,122248,Massachusetts
2017  ,125236,Massachusetts
1960  ,61535,Maryland
1961  ,58541,Maryland
1962  ,59310,Maryland
1963  ,66539,Maryland
1964  ,67606,Maryland
1965  ,70063,Maryland
1966  ,73745,Maryland
1967  ,83166,Maryland
1968  ,85262,Maryland
1969  ,81141,Maryland
1970  ,93491,Maryland
1971  ,91095,Maryland
1972  ,97878,Maryland
1973  ,95857,Maryland
1974  ,103837,Maryland
1975  ,163326,Maryland
1976  ,192894,Maryland
1977  ,247182,Maryland
1978  ,237373,Maryland
1979  ,233867,Maryland
1980  ,254802,Maryland
1981  ,279835,Maryland
1982  ,260009,Maryland
1983  ,258561,Maryland
1984  ,287066,Maryland
1985  ,235288,Maryland
1986  ,288028,Maryland
1987  ,252004,Maryland
1988  ,252736,Maryland
1989  ,168772,Maryland
1990  ,151816,Maryland
1991  ,231863,Maryland
1992  ,242324,Maryland
1993  ,263240,Maryland
1994  ,263335,Maryland
1995  ,281907,Maryland
1996  ,296228,Maryland
1997  ,295315,Maryland
1998  ,292575,Maryland
1999  ,284199,Maryland
2000  ,308712,Maryland
2001  ,287582,Maryland
2002  ,290409,Maryland
2003  ,321479,Maryland
2004  ,334633,Maryland
2005  ,323805,Maryland
2006  ,312135,Maryland
2007  ,245180,Maryland
2008  ,263722,Maryland
2009  ,254086,Maryland
2010  ,253736,Maryland
2011  ,274238,Maryland
2012  ,245278,Maryland
2013  ,247890,Maryland
2014  ,249398,Maryland
2015  ,246380,Maryland
2016  ,240542,Maryland
2017  ,256288,Maryland
1960  ,59784,Maine
1961  ,56575,Maine
1962  ,55672,Maine
1963  ,58874,Maine
1964  ,55936,Maine
1965  ,51675,Maine
1966  ,55812,Maine
1967  ,58337,Maine
1968  ,59840,Maine
1969  ,61658,Maine
1970  ,59420,Maine
1971  ,55423,Maine
1972  ,60468,Maine
1973  ,101187,Maine
1974  ,104156,Maine
1975  ,110009,Maine
1976  ,135595,Maine
1977  ,128075,Maine
1978  ,133471,Maine
1979  ,125825,Maine
1980  ,169165,Maine
1981  ,187270,Maine
1982  ,177007,Maine
1983  ,202740,Maine
1984  ,194880,Maine
1985  ,192916,Maine
1986  ,188803,Maine
1987  ,158593,Maine
1988  ,171221,Maine
1989  ,227889,Maine
1990  ,203066,Maine
1991  ,222937,Maine
1992  ,215139,Maine
1993  ,218444,Maine
1994  ,226053,Maine
1995  ,162961,Maine
1996  ,220384,Maine
1997  ,161828,Maine
1998  ,151240,Maine
1999  ,159186,Maine
2000  ,163025,Maine
2001  ,146146,Maine
2002  ,140385,Maine
2003  ,132344,Maine
2004  ,136769,Maine
2005  ,159674,Maine
2006  ,152339,Maine
2007  ,155620,Maine
2008  ,182576,Maine
2009  ,148204,Maine
2010  ,158991,Maine
2011  ,161551,Maine
2012  ,157320,Maine
2013  ,161662,Maine
2014  ,157402,Maine
2015  ,161374,Maine
2016  ,142003,Maine
2017  ,152720,Maine
1960  ,174401,Michigan
1961  ,195593,Michigan
1962  ,185196,Michigan
1963  ,181945,Michigan
1964  ,180593,Michigan
1965  ,181789,Michigan
1966  ,181485,Michigan
1967  ,178891,Michigan
1968  ,181331,Michigan
1969  ,172045,Michigan
1970  ,169386,Michigan
1971  ,156608,Michigan
1972  ,192480,Michigan
1973  ,212118,Michigan
1974  ,232514,Michigan
1975  ,376031,Michigan
1976  ,469239,Michigan
1977  ,505203,Michigan
1978  ,581915,Michigan
1979  ,627865,Michigan
1980  ,661703,Michigan
1981  ,666603,Michigan
1982  ,636051,Michigan
1983  ,644039,Michigan
1984  ,608173,Michigan
1985  ,564475,Michigan
1986  ,541400,Michigan
1987  ,581425,Michigan
1988  ,610786,Michigan
1989  ,640965,Michigan
1990  ,632372,Michigan
1991  ,705115,Michigan
1992  ,609576,Michigan
1993  ,701882,Michigan
1994  ,559940,Michigan
1995  ,682297,Michigan
1996  ,726834,Michigan
1997  ,722940,Michigan
1998  ,582380,Michigan
1999  ,597923,Michigan
2000  ,665202,Michigan
2001  ,704239,Michigan
2002  ,741478,Michigan
2003  ,681140,Michigan
2004  ,733782,Michigan
2005  ,763437,Michigan
2006  ,726250,Michigan
2007  ,770508,Michigan
2008  ,672866,Michigan
2009  ,556050,Michigan
2010  ,634741,Michigan
2011  ,690405,Michigan
2012  ,633170,Michigan
2013  ,660825,Michigan
2014  ,692215,Michigan
2015  ,680300,Michigan
2016  ,685253,Michigan
2017  ,701528,Michigan
1960  ,34957,Minnesota
1961  ,32478,Minnesota
1962  ,34382,Minnesota
1963  ,32337,Minnesota
1964  ,33879,Minnesota
1965  ,36480,Minnesota
1966  ,36529,Minnesota
1967  ,34010,Minnesota
1968  ,33994,Minnesota
1969  ,34190,Minnesota
1970  ,32822,Minnesota
1971  ,48874,Minnesota
1972  ,74100,Minnesota
1973  ,72106,Minnesota
1974  ,84593,Minnesota
1975  ,144321,Minnesota
1976  ,145114,Minnesota
1977  ,156936,Minnesota
1978  ,177059,Minnesota
1979  ,179093,Minnesota
1980  ,164168,Minnesota
1981  ,168952,Minnesota
1982  ,171841,Minnesota
1983  ,190814,Minnesota
1984  ,156306,Minnesota
1985  ,189395,Minnesota
1986  ,180757,Minnesota
1987  ,179556,Minnesota
1988  ,190489,Minnesota
1989  ,179176,Minnesota
1990  ,188338,Minnesota
1991  ,189670,Minnesota
1992  ,186426,Minnesota
1993  ,196006,Minnesota
1994  ,199866,Minnesota
1995  ,215245,Minnesota
1996  ,207547,Minnesota
1997  ,197048,Minnesota
1998  ,202676,Minnesota
1999  ,234564,Minnesota
2000  ,238587,Minnesota
2001  ,232063,Minnesota
2002  ,250113,Minnesota
2003  ,253551,Minnesota
2004  ,264134,Minnesota
2005  ,274338,Minnesota
2006  ,294737,Minnesota
2007  ,316669,Minnesota
2008  ,350936,Minnesota
2009  ,388201,Minnesota
2010  ,435729,Minnesota
2011  ,431447,Minnesota
2012  ,427355,Minnesota
2013  ,411192,Minnesota
2014  ,471129,Minnesota
2015  ,463259,Minnesota
2016  ,488894,Minnesota
2017  ,505196,Minnesota
1960  ,102979,Missouri
1961  ,107617,Missouri
1962  ,101804,Missouri
1963  ,100752,Missouri
1964  ,100407,Missouri
1965  ,111172,Missouri
1966  ,109212,Missouri
1967  ,110162,Missouri
1968  ,107156,Missouri
1969  ,109822,Missouri
1970  ,127720,Missouri
1971  ,116039,Missouri
1972  ,125813,Missouri
1973  ,134779,Missouri
1974  ,133820,Missouri
1975  ,147975,Missouri
1976  ,156456,Missouri
1977  ,163233,Missouri
1978  ,161424,Missouri
1979  ,183840,Missouri
1980  ,140305,Missouri
1981  ,130685,Missouri
1982  ,154537,Missouri
1983  ,147337,Missouri
1984  ,196579,Missouri
1985  ,263026,Missouri
1986  ,222511,Missouri
1987  ,195604,Missouri
1988  ,226732,Missouri
1989  ,196194,Missouri
1990  ,182406,Missouri
1991  ,184541,Missouri
1992  ,181313,Missouri
1993  ,152953,Missouri
1994  ,160243,Missouri
1995  ,136093,Missouri
1996  ,140546,Missouri
1997  ,134144,Missouri
1998  ,135540,Missouri
1999  ,131382,Missouri
2000  ,135904,Missouri
2001  ,129033,Missouri
2002  ,128691,Missouri
2003  ,144576,Missouri
2004  ,135395,Missouri
2005  ,149612,Missouri
2006  ,157085,Missouri
2007  ,164647,Missouri
2008  ,185704,Missouri
2009  ,211100,Missouri
2010  ,205191,Missouri
2011  ,201735,Missouri
2012  ,204144,Missouri
2013  ,191278,Missouri
2014  ,199073,Missouri
2015  ,199430,Missouri
2016  ,186677,Missouri
2017  ,183478,Missouri
1960  ,525949,Mississippi
1961  ,542470,Mississippi
1962  ,545190,Mississippi
1963  ,563334,Mississippi
1964  ,556744,Mississippi
1965  ,537412,Mississippi
1966  ,521326,Mississippi
1967  ,511035,Mississippi
1968  ,516649,Mississippi
1969  ,544165,Mississippi
1970  ,542511,Mississippi
1971  ,528345,Mississippi
1972  ,495255,Mississippi
1973  ,461159,Mississippi
1974  ,407660,Mississippi
1975  ,378461,Mississippi
1976  ,375246,Mississippi
1977  ,371398,Mississippi
1978  ,390886,Mississippi
1979  ,403546,Mississippi
1980  ,427539,Mississippi
1981  ,426710,Mississippi
1982  ,409682,Mississippi
1983  ,383837,Mississippi
1984  ,406004,Mississippi
1985  ,423587,Mississippi
1986  ,411509,Mississippi
1987  ,431969,Mississippi
1988  ,436342,Mississippi
1989  ,424510,Mississippi
1990  ,418688,Mississippi
1991  ,454192,Mississippi
1992  ,419139,Mississippi
1993  ,389800,Mississippi
1994  ,378302,Mississippi
1995  ,392487,Mississippi
1996  ,402677,Mississippi
1997  ,431179,Mississippi
1998  ,402163,Mississippi
1999  ,380835,Mississippi
2000  ,421004,Mississippi
2001  ,415224,Mississippi
2002  ,436130,Mississippi
2003  ,465910,Mississippi
2004  ,403362,Mississippi
2005  ,384286,Mississippi
2006  ,395835,Mississippi
2007  ,413088,Mississippi
2008  ,417510,Mississippi
2009  ,455082,Mississippi
2010  ,450154,Mississippi
2011  ,442987,Mississippi
2012  ,391985,Mississippi
2013  ,412368,Mississippi
2014  ,405038,Mississippi
2015  ,418825,Mississippi
2016  ,331911,Mississippi
2017  ,317540,Mississippi
1960  ,289650,Montana
1961  ,301722,Montana
1962  ,299992,Montana
1963  ,290401,Montana
1964  ,292500,Montana
1965  ,324692,Montana
1966  ,338583,Montana
1967  ,337529,Montana
1968  ,413369,Montana
1969  ,427250,Montana
1970  ,429121,Montana
1971  ,469214,Montana
1972  ,483890,Montana
1973  ,537139,Montana
1974  ,620802,Montana
1975  ,742709,Montana
1976  ,842109,Montana
1977  ,823091,Montana
1978  ,832736,Montana
1979  ,934006,Montana
1980  ,876248,Montana
1981  ,974501,Montana
1982  ,864922,Montana
1983  ,883944,Montana
1984  ,948809,Montana
1985  ,946257,Montana
1986  ,949524,Montana
1987  ,923391,Montana
1988  ,988082,Montana
1989  ,964479,Montana
1990  ,970497,Montana
1991  ,999727,Montana
1992  ,963801,Montana
1993  ,916242,Montana
1994  ,995606,Montana
1995  ,989183,Montana
1996  ,993475,Montana
1997  ,1038139,Montana
1998  ,1056741,Montana
1999  ,1048860,Montana
2000  ,972180,Montana
2001  ,964995,Montana
2002  ,972017,Montana
2003  ,967873,Montana
2004  ,1066702,Montana
2005  ,1145000,Montana
2006  ,1204617,Montana
2007  ,1219473,Montana
2008  ,1217278,Montana
2009  ,1080859,Montana
2010  ,1149362,Montana
2011  ,1104781,Montana
2012  ,1009005,Montana
2013  ,1105493,Montana
2014  ,1161407,Montana
2015  ,1090443,Montana
2016  ,885716,Montana
2017  ,929813,Montana
1960  ,127507,North Carolina
1961  ,120692,North Carolina
1962  ,127402,North Carolina
1963  ,116481,North Carolina
1964  ,131745,North Carolina
1965  ,123608,North Carolina
1966  ,114335,North Carolina
1967  ,118616,North Carolina
1968  ,117146,North Carolina
1969  ,119495,North Carolina
1970  ,111796,North Carolina
1971  ,128148,North Carolina
1972  ,135756,North Carolina
1973  ,142789,North Carolina
1974  ,139607,North Carolina
1975  ,155305,North Carolina
1976  ,164716,North Carolina
1977  ,207562,North Carolina
1978  ,267673,North Carolina
1979  ,265719,North Carolina
1980  ,198907,North Carolina
1981  ,177049,North Carolina
1982  ,244359,North Carolina
1983  ,284453,North Carolina
1984  ,379256,North Carolina
1985  ,341806,North Carolina
1986  ,328722,North Carolina
1987  ,433531,North Carolina
1988  ,424322,North Carolina
1989  ,476814,North Carolina
1990  ,442851,North Carolina
1991  ,455078,North Carolina
1992  ,397954,North Carolina
1993  ,406871,North Carolina
1994  ,524888,North Carolina
1995  ,546020,North Carolina
1996  ,525514,North Carolina
1997  ,505382,North Carolina
1998  ,566450,North Carolina
1999  ,531852,North Carolina
2000  ,544289,North Carolina
2001  ,521833,North Carolina
2002  ,539009,North Carolina
2003  ,607883,North Carolina
2004  ,557860,North Carolina
2005  ,562525,North Carolina
2006  ,553642,North Carolina
2007  ,532719,North Carolina
2008  ,558445,North Carolina
2009  ,575727,North Carolina
2010  ,583106,North Carolina
2011  ,579675,North Carolina
2012  ,565513,North Carolina
2013  ,612150,North Carolina
2014  ,601845,North Carolina
2015  ,610000,North Carolina
2016  ,646656,North Carolina
2017  ,661069,North Carolina
1960  ,197482,North Dakota
1961  ,214074,North Dakota
1962  ,228148,North Dakota
1963  ,234556,North Dakota
1964  ,248276,North Dakota
1965  ,260755,North Dakota
1966  ,283877,North Dakota
1967  ,282387,North Dakota
1968  ,282931,North Dakota
1969  ,267419,North Dakota
1970  ,276097,North Dakota
1971  ,281805,North Dakota
1972  ,279133,North Dakota
1973  ,270583,North Dakota
1974  ,280191,North Dakota
1975  ,294297,North Dakota
1976  ,341548,North Dakota
1977  ,347530,North Dakota
1978  ,395174,North Dakota
1979  ,432337,North Dakota
1980  ,538858,North Dakota
1981  ,582456,North Dakota
1982  ,606771,North Dakota
1983  ,660963,North Dakota
1984  ,710853,North Dakota
1985  ,767860,North Dakota
1986  ,700625,North Dakota
1987  ,675224,North Dakota
1988  ,717548,North Dakota
1989  ,691045,North Dakota
1990  ,689546,North Dakota
1991  ,686743,North Dakota
1992  ,695643,North Dakota
1993  ,690884,North Dakota
1994  ,679072,North Dakota
1995  ,658546,North Dakota
1996  ,678845,North Dakota
1997  ,700187,North Dakota
1998  ,692435,North Dakota
1999  ,696195,North Dakota
2000  ,690734,North Dakota
2001  ,671263,North Dakota
2002  ,673055,North Dakota
2003  ,667207,North Dakota
2004  ,667969,North Dakota
2005  ,690744,North Dakota
2006  ,724558,North Dakota
2007  ,762433,North Dakota
2008  ,870619,North Dakota
2009  ,1014560,North Dakota
2010  ,1250915,North Dakota
2011  ,1515114,North Dakota
2012  ,2130546,North Dakota
2013  ,2623263,North Dakota
2014  ,3253730,North Dakota
2015  ,3670409,North Dakota
2016  ,3489801,North Dakota
2017  ,3691420,North Dakota
1960  ,169333,Nebraska
1961  ,172458,Nebraska
1962  ,174642,Nebraska
1963  ,155951,Nebraska
1964  ,137695,Nebraska
1965  ,125804,Nebraska
1966  ,106128,Nebraska
1967  ,101261,Nebraska
1968  ,100617,Nebraska
1969  ,92865,Nebraska
1970  ,89325,Nebraska
1971  ,78787,Nebraska
1972  ,71774,Nebraska
1973  ,70110,Nebraska
1974  ,102427,Nebraska
1975  ,119118,Nebraska
1976  ,119500,Nebraska
1977  ,134159,Nebraska
1978  ,137761,Nebraska
1979  ,149655,Nebraska
1980  ,121789,Nebraska
1981  ,125301,Nebraska
1982  ,158247,Nebraska
1983  ,125646,Nebraska
1984  ,123800,Nebraska
1985  ,110034,Nebraska
1986  ,149578,Nebraska
1987  ,150132,Nebraska
1988  ,129818,Nebraska
1989  ,142874,Nebraska
1990  ,132716,Nebraska
1991  ,136602,Nebraska
1992  ,144130,Nebraska
1993  ,124099,Nebraska
1994  ,122992,Nebraska
1995  ,149767,Nebraska
1996  ,175084,Nebraska
1997  ,180676,Nebraska
1998  ,171329,Nebraska
1999  ,190064,Nebraska
2000  ,175822,Nebraska
2001  ,179455,Nebraska
2002  ,193440,Nebraska
2003  ,174732,Nebraska
2004  ,214447,Nebraska
2005  ,201838,Nebraska
2006  ,211636,Nebraska
2007  ,260719,Nebraska
2008  ,292823,Nebraska
2009  ,293256,Nebraska
2010  ,400410,Nebraska
2011  ,391236,Nebraska
2012  ,357475,Nebraska
2013  ,370555,Nebraska
2014  ,412181,Nebraska
2015  ,436127,Nebraska
2016  ,434952,Nebraska
2017  ,444344,Nebraska
1960  ,25629,New Hampshire
1961  ,23327,New Hampshire
1962  ,25119,New Hampshire
1963  ,24450,New Hampshire
1964  ,23707,New Hampshire
1965  ,22019,New Hampshire
1966  ,24343,New Hampshire
1967  ,24089,New Hampshire
1968  ,25155,New Hampshire
1969  ,27816,New Hampshire
1970  ,25321,New Hampshire
1971  ,24733,New Hampshire
1972  ,26131,New Hampshire
1973  ,30671,New Hampshire
1974  ,28694,New Hampshire
1975  ,25853,New Hampshire
1976  ,31050,New Hampshire
1977  ,31271,New Hampshire
1978  ,31004,New Hampshire
1979  ,33548,New Hampshire
1980  ,32382,New Hampshire
1981  ,36067,New Hampshire
1982  ,33759,New Hampshire
1983  ,38209,New Hampshire
1984  ,35004,New Hampshire
1985  ,33807,New Hampshire
1986  ,38742,New Hampshire
1987  ,34985,New Hampshire
1988  ,36549,New Hampshire
1989  ,40566,New Hampshire
1990  ,90006,New Hampshire
1991  ,112058,New Hampshire
1992  ,124603,New Hampshire
1993  ,137475,New Hampshire
1994  ,105198,New Hampshire
1995  ,127522,New Hampshire
1996  ,151032,New Hampshire
1997  ,126018,New Hampshire
1998  ,128574,New Hampshire
1999  ,129573,New Hampshire
2000  ,121237,New Hampshire
2001  ,120964,New Hampshire
2002  ,125950,New Hampshire
2003  ,126527,New Hampshire
2004  ,141054,New Hampshire
2005  ,139970,New Hampshire
2006  ,131170,New Hampshire
2007  ,147707,New Hampshire
2008  ,137613,New Hampshire
2009  ,137581,New Hampshire
2010  ,159178,New Hampshire
2011  ,133641,New Hampshire
2012  ,130288,New Hampshire
2013  ,166870,New Hampshire
2014  ,161702,New Hampshire
2015  ,160266,New Hampshire
2016  ,168514,New Hampshire
2017  ,163764,New Hampshire
1960  ,20514,New Jersey
1961  ,20749,New Jersey
1962  ,21199,New Jersey
1963  ,23397,New Jersey
1964  ,23947,New Jersey
1965  ,23693,New Jersey
1966  ,23570,New Jersey
1967  ,23695,New Jersey
1968  ,24678,New Jersey
1969  ,26536,New Jersey
1970  ,63823,New Jersey
1971  ,68077,New Jersey
1972  ,76562,New Jersey
1973  ,69377,New Jersey
1974  ,74097,New Jersey
1975  ,65594,New Jersey
1976  ,77679,New Jersey
1977  ,113451,New Jersey
1978  ,131035,New Jersey
1979  ,115019,New Jersey
1980  ,131576,New Jersey
1981  ,183186,New Jersey
1982  ,204666,New Jersey
1983  ,129314,New Jersey
1984  ,109641,New Jersey
1985  ,238434,New Jersey
1986  ,197788,New Jersey
1987  ,275599,New Jersey
1988  ,295141,New Jersey
1989  ,278624,New Jersey
1990  ,277678,New Jersey
1991  ,296063,New Jersey
1992  ,264742,New Jersey
1993  ,298894,New Jersey
1994  ,272754,New Jersey
1995  ,219821,New Jersey
1996  ,157084,New Jersey
1997  ,185270,New Jersey
1998  ,323497,New Jersey
1999  ,342641,New Jersey
2000  ,338364,New Jersey
2001  ,347250,New Jersey
2002  ,351001,New Jersey
2003  ,336347,New Jersey
2004  ,309505,New Jersey
2005  ,347247,New Jersey
2006  ,361601,New Jersey
2007  ,356176,New Jersey
2008  ,359682,New Jersey
2009  ,392900,New Jersey
2010  ,379818,New Jersey
2011  ,390533,New Jersey
2012  ,390589,New Jersey
2013  ,398329,New Jersey
2014  ,383621,New Jersey
2015  ,391862,New Jersey
2016  ,357882,New Jersey
2017  ,403935,New Jersey
1960  ,1559912,New Mexico
1961  ,1580949,New Mexico
1962  ,1584350,New Mexico
1963  ,1615658,New Mexico
1964  ,1738766,New Mexico
1965  ,1841501,New Mexico
1966  ,1932434,New Mexico
1967  ,2037012,New Mexico
1968  ,2162190,New Mexico
1969  ,2155451,New Mexico
1970  ,2204308,New Mexico
1971  ,2201402,New Mexico
1972  ,2210437,New Mexico
1973  ,2148800,New Mexico
1974  ,2159761,New Mexico
1975  ,2100939,New Mexico
1976  ,2116862,New Mexico
1977  ,2096678,New Mexico
1978  ,2077754,New Mexico
1979  ,2136502,New Mexico
1980  ,2111910,New Mexico
1981  ,2079811,New Mexico
1982  ,1934869,New Mexico
1983  ,1850356,New Mexico
1984  ,1968444,New Mexico
1985  ,1946237,New Mexico
1986  ,1690121,New Mexico
1987  ,1770124,New Mexico
1988  ,1773260,New Mexico
1989  ,1843186,New Mexico
1990  ,1973469,New Mexico
1991  ,2006033,New Mexico
1992  ,2306066,New Mexico
1993  ,2532532,New Mexico
1994  ,2619921,New Mexico
1995  ,2679395,New Mexico
1996  ,2589149,New Mexico
1997  ,2659628,New Mexico
1998  ,2587527,New Mexico
1999  ,2566994,New Mexico
2000  ,2718824,New Mexico
2001  ,2770329,New Mexico
2002  ,2707462,New Mexico
2003  ,2686076,New Mexico
2004  ,2725571,New Mexico
2005  ,2742669,New Mexico
2006  ,2639850,New Mexico
2007  ,2522342,New Mexico
2008  ,2469018,New Mexico
2009  ,2401551,New Mexico
2010  ,2249407,New Mexico
2011  ,2255005,New Mexico
2012  ,2310329,New Mexico
2013  ,2367466,New Mexico
2014  ,2564972,New Mexico
2015  ,2676854,New Mexico
2016  ,2561670,New Mexico
2017  ,2805037,New Mexico
1960  ,22267,Nevada
1961  ,20439,Nevada
1962  ,22551,Nevada
1963  ,20488,Nevada
1964  ,19321,Nevada
1965  ,18756,Nevada
1966  ,21412,Nevada
1967  ,20603,Nevada
1968  ,20714,Nevada
1969  ,20064,Nevada
1970  ,19186,Nevada
1971  ,19307,Nevada
1972  ,17854,Nevada
1973  ,18913,Nevada
1974  ,18511,Nevada
1975  ,19494,Nevada
1976  ,18287,Nevada
1977  ,22215,Nevada
1978  ,25685,Nevada
1979  ,26967,Nevada
1980  ,32507,Nevada
1981  ,25854,Nevada
1982  ,22265,Nevada
1983  ,51890,Nevada
1984  ,74118,Nevada
1985  ,67608,Nevada
1986  ,68958,Nevada
1987  ,46549,Nevada
1988  ,42653,Nevada
1989  ,48889,Nevada
1990  ,52932,Nevada
1991  ,58812,Nevada
1992  ,58440,Nevada
1993  ,51512,Nevada
1994  ,48955,Nevada
1995  ,48123,Nevada
1996  ,49257,Nevada
1997  ,53973,Nevada
1998  ,57758,Nevada
1999  ,53084,Nevada
2000  ,48346,Nevada
2001  ,46737,Nevada
2002  ,42636,Nevada
2003  ,36445,Nevada
2004  ,37013,Nevada
2005  ,37073,Nevada
2006  ,40791,Nevada
2007  ,40066,Nevada
2008  ,40387,Nevada
2009  ,49256,Nevada
2010  ,51398,Nevada
2011  ,52602,Nevada
2012  ,58695,Nevada
2013  ,68432,Nevada
2014  ,69311,Nevada
2015  ,76977,Nevada
2016  ,90185,Nevada
2017  ,99826,Nevada
1960  ,204924,New York
1961  ,266311,New York
1962  ,292252,New York
1963  ,280859,New York
1964  ,266024,New York
1965  ,284204,New York
1966  ,310674,New York
1967  ,330339,New York
1968  ,346053,New York
1969  ,365937,New York
1970  ,382753,New York
1971  ,406058,New York
1972  ,427421,New York
1973  ,453762,New York
1974  ,476780,New York
1975  ,512104,New York
1976  ,555822,New York
1977  ,579470,New York
1978  ,611301,New York
1979  ,590397,New York
1980  ,635743,New York
1981  ,627581,New York
1982  ,578391,New York
1983  ,637603,New York
1984  ,670047,New York
1985  ,710139,New York
1986  ,698546,New York
1987  ,670002,New York
1988  ,649352,New York
1989  ,644729,New York
1990  ,669113,New York
1991  ,703196,New York
1992  ,674567,New York
1993  ,727483,New York
1994  ,737536,New York
1995  ,688659,New York
1996  ,829662,New York
1997  ,819672,New York
1998  ,805750,New York
1999  ,823741,New York
2000  ,777275,New York
2001  ,802149,New York
2002  ,816260,New York
2003  ,819274,New York
2004  ,830909,New York
2005  ,866209,New York
2006  ,878199,New York
2007  ,867430,New York
2008  ,904372,New York
2009  ,872421,New York
2010  ,843311,New York
2011  ,885052,New York
2012  ,820823,New York
2013  ,876024,New York
2014  ,874253,New York
2015  ,898335,New York
2016  ,864762,New York
2017  ,904503,New York
1960  ,901866,Ohio
1961  ,862418,Ohio
1962  ,909007,Ohio
1963  ,973973,Ohio
1964  ,1043677,Ohio
1965  ,1074454,Ohio
1966  ,1165689,Ohio
1967  ,1219004,Ohio
1968  ,1285783,Ohio
1969  ,1361204,Ohio
1970  ,1453233,Ohio
1971  ,1379916,Ohio
1972  ,1386992,Ohio
1973  ,1225255,Ohio
1974  ,1192547,Ohio
1975  ,1208179,Ohio
1976  ,1228613,Ohio
1977  ,1283144,Ohio
1978  ,1195158,Ohio
1979  ,1278865,Ohio
1980  ,1227811,Ohio
1981  ,1234539,Ohio
1982  ,1220791,Ohio
1983  ,1218392,Ohio
1984  ,1372227,Ohio
1985  ,1259636,Ohio
1986  ,1241913,Ohio
1987  ,1285494,Ohio
1988  ,1257327,Ohio
1989  ,1254402,Ohio
1990  ,1232801,Ohio
1991  ,1163958,Ohio
1992  ,1155351,Ohio
1993  ,1035810,Ohio
1994  ,1094231,Ohio
1995  ,1048593,Ohio
1996  ,1072325,Ohio
1997  ,1095986,Ohio
1998  ,1057204,Ohio
